Season;Driver;Country;Age;Chassis;Engine;Tyres;Poles;Wins;Podiums;F. Laps;Points;% Points of All Available;Winning Race;All Races
2011;Sebastian Vettel;Germany;24;Red Bull;Renault;Pirelli;15;11;17;3;392;82%;15;19
2012;Sebastian Vettel;Germany;25;Red Bull;Renault;Pirelli;6;5;10;6;281;56%;20;20
2013;Sebastian Vettel;Germany;26;Red Bull;Renault;Pirelli;9;13;16;7;397;83%;16;19
2014;Lewis Hamilton;United Kingdom;29;Mercedes;Mercedes;Pirelli;7;11;16;7;384;76%;19;19
2015;Lewis Hamilton;United Kingdom;30;Mercedes;Mercedes;Pirelli;11;10;17;8;381;80%;16;19
2016;Nico Rosberg;Germany;31;Mercedes;Mercedes;Pirelli;8;9;16;6;385;73%;21;21
2017;Lewis Hamilton;United Kingdom;32;Mercedes;Mercedes;Pirelli;11;9;13;7;363;72%;18;20
2018;Lewis Hamilton;United Kingdom;33;Mercedes;Mercedes;Pirelli;11;11;17;3;408;77%;19;21
2019;Lewis Hamilton;United Kingdom;34;Mercedes;Mercedes;Pirelli;5;11;17;6;413;75%;19;21
2020;Lewis Hamilton;United Kingdom;35;Mercedes;Mercedes;Pirelli;10;11;14;6;347;83%;14;17
